F1,F2,F3,F4,F5,F6,F7,Label
80.19825819,15.31991709,12.52759106,-58.41275477,59.96197192,51.7152088,81.87766551,0
-148.1290423,-180.3535733,62.13053294,101.6407432,-89.66702014,197.4159227,1.692631004,0
-2.324045219,-2.44861987,2.40336554,6.231037281,-1.178721467,-1.209778354,-0.690948551,1
3.348104916,-2.948177276,2.283994625,-8.244813779,0.526089678,-4.912685651,0.904861057,1
-141.7683714,-78.32382812,24.86605138,-55.91459278,64.57520369,56.25392033,-40.14568698,0
0.967441647,-1.171720977,1.86512229,-1.585140356,-1.513590269,-3.739663598,3.978724669,1
191.768549,-83.7120231,75.94931591,129.1818535,32.49551307,-165.7015202,-71.63828279,0
80.8718079,223.3689386,11.05025191,-168.5862078,-10.69555654,207.0705327,140.89672,0
2.695111085,5.422075261,-1.122828843,1.643205554,1.531342466,1.422565108,-1.078279563,1
4.252600009,-1.16155743,-2.232965612,2.760126171,-1.523941976,3.467156599,0.497866879,1
1.790975824,-2.140640128,-1.730292671,5.287361969,2.22427715,1.276639631,-1.45481513,1
114.5220859,-54.19133151,97.14812048,245.8372593,-101.9055773,-26.79551764,-173.3581199,0
-212.5597206,-64.17271025,74.04764964,-25.70333925,161.6177995,-149.5452766,-64.67158912,0
-4.103490022,-1.896834362,1.027023914,0.819635045,1.557968985,3.02259464,-2.346957631,1
124.4793528,119.3274705,-82.68678653,75.15040478,24.53875678,-165.7125661,22.43752604,0
-2.494679105,0.958066351,1.458521758,4.106404574,2.137577623,1.555778318,-3.363793861,1
2.220894568,-1.811692431,-0.295995451,-3.792713404,-0.141026989,-1.102824669,3.417040217,1
-3.354947791,-1.420903544,0.249456039,-2.970803934,0.69164575,4.005208538,4.548624803,1
83.52037637,-118.3653295,54.2182551,175.1853425,41.84016911,-82.47088013,-84.58820066,0
-30.95799041,146.2383351,114.1860754,52.82442767,120.9430978,-8.104587323,30.94046423,0
232.5859097,-14.63371569,-36.4360055,-37.90880616,-7.589256002,-18.68218935,137.3788526,0
183.1111816,208.3878123,-98.24675298,46.19765829,-164.3851032,1.96372028,0.116489759,0
-17.50876737,-44.81201187,135.772701,-27.54933719,150.1427425,128.2933848,-105.3212934,0
-0.888442621,1.857770144,-2.581980643,2.839722206,0.315806541,5.531507069,-4.357241203,1
-260.5767219,47.18692759,16.51384533,255.1385674,38.80152624,-162.1416799,175.1530194,0
-51.64654417,155.0583239,56.47910474,58.48054586,-52.1960678,-126.2164795,207.0400453,0
119.8495099,-125.132443,-55.30458925,-70.57674565,24.22328041,-76.19527262,20.75451923,0
-0.328440663,0.657328389,-1.194792307,-1.019071456,-0.441465722,1.303993586,0.906790772,1
-2.936458497,-0.213524932,-1.092420896,1.444403319,-0.662931086,5.577988894,-0.157374824,1
1.284985158,2.627353536,-3.230023967,-1.802229021,-1.113080513,2.820399197,0.217815356,1
-166.0757408,192.3818367,146.4142725,-59.05606507,42.24501735,-119.8432175,-130.86775,0
-3.591770935,-0.59898652,-5.879880184,-1.628854491,0.215266996,-4.079818366,3.170804307,1
-114.3036989,21.02160188,-114.1121294,-72.02432647,35.43990066,-164.052587,-107.1215714,0
-40.10274947,86.51004682,84.96388576,156.5501706,-112.6433691,-62.97036768,-58.05749914,0
0.154839985,-1.877268002,2.470836684,2.998203254,-2.873326469,-0.926603064,0.159080677,1
2.340802829,0.323236857,4.389504438,4.214695622,1.175282886,-4.171238331,-2.753531748,1
-144.595294,-98.66885326,187.546286,144.0608768,118.8914705,17.30113389,-192.1832032,0
1.710755174,-1.431621695,5.898657343,-3.267230963,-0.600061191,1.532030283,3.611849222,1
14.77459549,20.15578885,-95.45401504,-55.6415221,39.95724587,18.54508978,61.67222902,0
44.90232915,-44.89596987,-250.2134008,129.0183591,-56.31687012,193.9553547,143.9182536,0
148.936205,97.09698337,-132.1610687,244.1759647,184.8283382,9.425682156,-124.1149159,0
3.25144863,-2.515335376,1.828576899,-1.448811281,-0.072767293,5.160715638,-0.381077975,1
-37.8954035,-17.46061221,106.879765,-239.3050803,97.71225797,-67.88640447,-129.3987692,0
117.0318399,123.6229824,-84.67697577,-282.9957691,-151.4897529,-4.537186607,-43.43933012,0
45.46145667,192.3446799,83.39657245,95.33244545,101.6178633,9.992575425,-174.5799421,0
-8.243406318,-109.7936866,-10.70321193,64.96802916,115.5659865,-44.55503575,108.0786481,0
120.5470319,54.50578684,127.3505951,-10.34136826,-37.24321457,67.68645922,-104.8366565,0
-83.2256812,94.69844105,33.70313749,93.05204123,205.8548381,119.5347381,-52.8902343,0
-0.891055134,2.971161069,-2.671514454,-1.294162826,0.49224801,5.87855066,-1.500224569,1
0.266385288,-2.940164307,0.428302001,0.151162898,-4.124361509,-3.09368865,1.615995676,1
3.457063578,0.66143371,-3.397443259,-0.491519352,2.613406474,6.225478978,-1.468465961,1
1.116580517,1.390195423,1.247789197,-0.944265004,-0.230797312,-2.749941847,-0.503680479,1
196.8287428,-53.37535873,-40.43621597,-173.8763833,91.5483065,-115.4805901,57.6135225,0
-1.657591991,0.065391856,-2.719866364,-3.309857484,1.502150831,2.384132025,-2.176653136,1
-2.704395042,2.870106927,-0.999708691,3.502692587,0.119366442,0.883195411,1.892317227,1
-136.3479149,193.512831,58.91126685,5.536287292,-208.3403465,-49.68020846,-36.192777,0
-2.474498817,-0.208672479,7.244334804,0.521265704,0.695405754,-1.488286333,-0.212424438,1
-87.36854607,-24.59331483,-110.1052323,39.73593541,236.5652154,-175.3329536,105.5353206,0
-244.2302787,-42.18581342,89.38067685,52.51454036,171.8617329,35.19159766,-193.6888922,0
-154.8611288,-104.0191144,87.1294059,-124.4858874,-53.65988167,0.763345986,105.5317833,0
2.179445748,-3.625049793,4.64198134,-1.415620307,-1.385484542,-1.340910297,3.145112086,1
5.482961412,0.477104116,2.499046052,4.050459476,0.299687127,2.800011189,0.265706951,1
-0.517978958,1.63535392,3.554993879,1.129523376,-0.726282779,0.735544416,-1.315749311,1
92.42565214,95.58421387,-83.45650198,143.2008187,243.5090246,198.621942,-118.4902101,0
249.5843193,14.21606493,-4.048352297,171.4093204,73.13004842,-7.918652613,-80.02804014,0
-121.4818135,9.622758905,82.33484134,-3.96081631,176.7086483,160.0299643,51.68182442,0
-1.779566921,-3.651832455,0.217917263,3.712817483,0.409761773,-2.327303309,-2.41297123,1
138.010852,-16.39306376,72.06842251,70.28273731,12.27026906,29.59610249,57.61613375,0
-2.285617786,-6.072190623,0.094865467,0.456531883,0.275874835,4.299218625,-2.328401421,1
3.370945558,-4.934510539,2.839911097,3.924309197,-1.176285818,0.105584081,-2.72919365,1
5.087210479,-1.035261332,2.268691861,5.674573403,-0.284065137,-5.802811761,-1.357130582,1
0.14395029,1.82440367,3.790959133,-1.558190625,0.528755414,-0.132535853,0.789595032,1
-143.9211595,-73.92959859,74.43275455,66.60680389,-143.0845572,23.37730853,-59.12579069,0
141.8494839,80.66566715,22.34171853,-61.42834404,-138.7034415,-79.09362314,20.2303494,0
-0.277403243,-3.439223194,-2.492430882,4.743716897,0.601689095,-6.748001584,-0.319382166,1
2.304721122,2.900566283,1.591113772,2.885989899,1.144820774,8.514142765,1.442408303,1
0.41889629,2.246123397,2.273727349,-0.551668036,0.071262708,2.496066496,0.698169187,1
125.0358349,21.23058092,27.62221644,-20.31263379,-38.1175995,123.6212175,-218.757062,0
2.723854654,-4.591394847,-2.922258986,4.15483475,-0.404203591,2.34413899,0.640255173,1
192.19936,144.6812378,-144.4350216,-185.7819108,-4.249114285,-178.6735792,-16.59998632,0
0.468672396,-4.710064336,-1.079680971,1.109413551,0.555667557,-1.025876047,-3.338736385,1
17.00589279,-161.4195996,-35.06085406,-15.42016188,184.047922,-53.79630742,106.1583643,0
0.379654102,-0.640480439,2.123907165,3.53719792,-0.525206859,0.989995502,-2.078087704,1
-3.818336085,2.410866218,4.283048707,4.873681019,1.984016523,0.820356677,-0.76843336,1
-1.395787018,-1.25519259,-2.510313888,-4.42711553,2.839532675,-1.109786821,5.101003724,1
-4.694535548,2.265436412,-2.956995171,2.03175521,-0.746828398,0.086812458,1.368204942,1
2.485101274,-4.48657681,-1.803259986,-1.26631704,1.215298994,-1.974753901,5.098355047,1
131.435157,-3.644323704,158.368692,-50.66113065,33.40056585,109.1325619,-231.8249593,0
-114.1786684,-118.3412123,-1.46713099,-196.9902634,95.3284137,110.8434169,184.0702883,0
162.7225171,220.9109135,-3.597827659,-75.3305261,50.53336344,-22.3180862,145.9975436,0
-83.64132113,-1.014829858,-10.1007929,116.9084115,21.98499916,-33.39183677,135.8482971,0
82.89912762,-55.82514669,1.787967793,16.23168783,2.456579197,-15.62246927,205.0410207,0
7.101162776,-1.49219865,1.32546787,-0.230656322,1.142815191,-1.60212975,0.223637879,1
-1.073147007,3.992888196,2.655662873,5.42909456,0.214502163,-0.064680061,-1.988368476,1
-57.97707588,78.58005109,-2.778796427,140.1296483,55.932608,232.6618806,78.23164986,0
-3.499694328,-3.76647948,1.477380977,-1.458042113,0.575092268,-1.787250883,-1.890842862,1
-154.9265141,39.81640799,-8.452570997,70.43543674,-157.8677367,102.5563275,-65.4825572,0
2.275957525,-0.731014636,-4.629870756,0.204599078,0.906308107,1.712034951,0.144767445,1
108.6222976,-41.26549806,-130.4939147,-115.8575024,6.797506989,-37.87330565,-60.88536656,0
2.387379164,1.441935668,-1.510270786,-4.726260871,-2.546433775,-1.382202467,-0.481023646,1
1.719028876,0.272364434,1.473751911,2.227693772,0.040297278,-4.612270776,0.116047863,1
10.38029597,53.64378333,-35.45983429,180.5293601,43.49381527,48.76526615,114.648636,0
-94.73670114,-57.18561104,148.6924059,-50.29043719,17.3847197,249.4714412,-134.4991065,0
128.8887737,135.5224857,101.7250708,33.63018852,-65.4303278,-20.7067168,151.3776361,0
-1.052699866,-0.387300601,0.275209961,-0.501362879,-1.445376988,1.486417403,2.474189612,1
37.80408034,-255.8270729,-158.2838638,-302.0510541,192.6747975,-102.9277263,18.2669125,0
1.855039386,2.163704852,-0.027681331,-0.510327749,0.377996819,6.00161126,0.249990037,1
-110.201126,71.18478497,25.14195717,-71.0151535,61.93478459,115.484483,-126.3787776,0
-148.5039167,-177.165688,-53.77125435,-183.6084873,28.55829678,-0.027514272,-133.6766973,0
1.469094564,-0.045843669,-0.327126458,6.212122287,3.977681452,2.16951066,-0.275428055,1
208.5153569,131.4860182,-43.69300707,-64.56176464,-123.1258756,106.406825,127.6304912,0
