F1,F2,F3,F4,F5,Label
6.539718384,9.460075352,9.284286912,0.844085719,-6.717677607,0
-31.92156798,-13.79704656,-6.895393255,-9.819559031,-14.62866303,1
-17.8066866,-21.02708854,-21.79534573,-7.245860722,-7.011750332,1
16.56142545,25.30754374,20.85803357,4.51261924,19.27671088,0
-10.92898162,-17.24118678,-9.557043715,-14.13161605,1.521133686,1
24.49222928,6.720975131,15.20160486,3.876185049,12.33839867,0
-22.23000203,-0.588183332,4.004908861,-10.69600695,-13.05011554,1
20.50318261,-3.662644452,12.04872032,4.736175957,9.741964454,0
9.865924295,5.019795344,8.312383535,2.819505979,6.714282128,0
-17.17274179,-17.37744923,-7.631642134,-12.53557705,-15.13166568,1
13.99961955,7.409615573,10.39132583,1.645946379,0.951578866,0
4.100988786,25.41368563,5.19369983,12.13609587,5.89536049,0
13.93343667,20.70771871,10.92411506,3.68961969,7.392284594,0
1.27516835,-17.05198431,-15.1087969,-8.41337072,-7.977942999,1
0.806150014,9.650739848,14.19528799,4.988643761,5.153020738,0
-9.341026542,-8.789518443,-17.54953318,-9.290580441,-9.395577958,1
9.174203468,12.72573177,18.81457191,15.24903932,-4.854963271,0
-10.47153987,-17.12010727,-6.37840651,-2.684645007,-9.638151894,1
-9.490176256,-11.29546735,-4.684867311,-8.146498329,0.527794324,1
-22.93691252,-23.87160693,-19.18877414,-16.05636593,-14.32818027,1
16.08932686,6.930599763,3.008738619,7.948438088,17.07699105,0
13.66970858,3.429325833,17.16618772,-4.600376307,-4.314555522,0
16.34440509,3.642170726,-1.591818125,5.810876008,7.865778619,0
7.546660842,-24.35032327,-0.053109233,-12.75737328,3.459601027,1
2.83232387,8.338573081,8.083376803,-2.188621015,7.075975595,0
-17.02252467,-16.86411034,-21.52951773,-3.972242925,-15.49484977,1
-17.47676538,2.998595636,8.587676376,-6.313342565,-12.2465275,1
19.52951547,7.1404509,0.059958428,4.315682899,6.256732988,0
-11.77768134,-23.81972865,-0.277592151,-8.012703745,-22.52324122,1
-8.845197364,-30.20708361,-2.662718961,-13.91952263,-12.02614957,1
26.2988545,15.92044875,13.80353592,11.53150987,8.950935913,0
-20.27056103,-19.93424002,-4.329451124,-12.01582473,-13.87489535,1
-21.20470857,-0.986299139,-26.30261546,-8.470343153,-4.83655101,1
6.188032903,3.708656464,10.26407018,0.591525238,8.658787653,0
16.54313755,12.46647679,17.85683225,3.547151591,6.113752411,0
-15.0623963,-26.10816042,-10.503633,-3.273035963,-22.9522737,1
-28.99689041,-21.31708932,2.324500268,-11.70455821,-1.360537043,1
14.22395671,13.41245638,1.588999651,10.24602179,-6.02920532,0
-30.66762295,-1.245984771,-15.21088007,-9.143560744,-8.410089012,1
5.089495202,7.921835534,12.44028893,-2.153291297,15.30409008,0
11.13460611,17.77453036,4.504657598,3.923772202,10.51399247,0
-16.99339616,-9.664890089,-14.24061683,-9.374405251,-12.17359386,1
16.50987993,2.842384036,2.100970858,4.721454295,1.053897023,0
-3.771240043,-13.90054306,-13.66262609,-13.64675331,-11.53961182,1
23.23571066,5.497535783,15.78703246,4.65278889,4.366553474,0
22.53742738,2.67412735,11.82333197,7.012346985,4.913865088,0
19.49723579,9.029915587,14.17435064,7.657222177,20.23277775,0
11.60604217,7.864358615,7.457534667,10.44163109,9.451313871,0
-22.61405072,-12.74121113,-4.067589678,-6.299222317,-19.58656229,1
3.953887628,7.731830597,11.29735749,15.94939646,19.101798,0
-23.22548869,-26.05282419,-0.294782266,-9.434984091,-20.30943053,1
11.47936696,7.619109732,13.75772395,7.160732602,8.705662095,0
-18.56407267,-22.30436655,-5.768602502,-11.84299098,-23.46862725,1
17.54186619,7.207922033,21.20302051,5.766125756,1.801492172,0
6.888390455,3.041704788,-1.825655573,-0.40883262,5.203369205,0
20.78292461,16.59968871,11.78552439,4.536699575,-3.752106526,0
-18.21275458,-9.092276729,-18.37758322,-13.04214999,0.775384511,1
10.60306506,18.695379,8.509557608,4.364641969,-2.926391477,0
-6.180971634,-25.83891649,-12.30146716,-7.884476482,-14.8866181,1
15.65378317,9.202547577,10.0006169,14.34299848,15.38415581,0
-24.21598939,-6.949593867,-7.778733649,-12.60834156,-7.441636172,1
16.017449,11.10852811,7.750196103,2.249635928,8.338842062,0
9.604247036,13.48069086,10.18226442,12.4456415,7.552649137,0
-4.008490765,-14.56406946,-19.97752669,-2.421974932,5.645459466,1
1.489133362,8.24463394,14.6805039,13.74863964,3.513426764,0
18.33412964,-17.70564904,7.182133049,4.220121529,16.22198931,0
17.94201635,5.721666706,12.79277046,7.532819473,-1.853206798,0
-4.026432405,-3.899011207,-3.198316955,-11.04875998,-19.3086495,1
