F1,F2,F3,F4,F5,Label
-6.092099394,-14.51299501,-10.77972785,-3.281547826,-4.400665741,1
-6.242773627,-6.263302334,-6.328040182,-1.174446819,-8.496591117,1
-6.208258931,-6.523248684,-3.892901196,-1.126722649,0.265739184,1
-15.55132104,-15.45731838,4.371455495,-2.329994596,-4.73072623,1
15.55508447,4.45324559,-1.933673604,1.604461929,9.495608549,0
10.39949372,-5.159732006,14.89665512,10.79904382,16.92348802,0
-11.25220125,-3.589762232,-7.635375066,-1.540473445,-8.95847965,1
18.02884021,5.335713551,18.7858509,-0.14932429,-4.242320432,0
16.93500438,15.96709137,12.90269655,12.34082902,4.337874104,0
10.71637785,8.059337524,18.77349235,3.703603112,28.31720935,0
18.03415072,20.9800135,11.94563393,2.65721686,18.53654944,0
-18.20028973,-12.63657327,-9.104412088,-6.660044977,-6.822468321,1
-5.183616811,-7.414192763,-27.07839021,-3.016831425,-16.44445045,1
6.31223208,24.93058242,17.7087537,3.516372286,21.73775444,0
-3.262630717,8.318113554,21.01269521,9.285225631,14.69141237,0
-8.296686532,-10.46846317,-8.397313946,-1.13884769,-11.89208212,1
18.3301077,20.05663395,14.88084564,-0.374147537,16.88489169,0
1.595586296,12.27852432,0.542293632,4.414830482,8.058568285,0
16.77225349,1.6017762,8.986557468,2.363603542,29.79958415,0
-22.23116229,-5.983757534,-8.437582295,-3.47865307,-18.31883261,1
11.59251768,13.8198297,11.629562,9.658699517,1.190846777,0
-10.73537413,-9.384134118,-4.315522235,-6.774028936,-13.53834399,1
-2.671045209,-17.21717199,-2.797874698,-6.129238972,-10.92391593,1
27.35453216,29.56914134,24.56246464,2.280467225,6.96968387,0
21.42191801,6.522077838,-5.02926921,-0.109153305,22.81146161,0
17.38809878,13.47611753,8.510798998,5.018653141,20.36410406,0
-7.816680401,-10.92509753,5.932879522,-0.705187639,-5.792088982,1
18.17332673,10.18972321,11.71550318,3.833115863,29.27585839,0
17.75684774,18.97686663,27.30713634,5.897230554,7.153410706,0
7.664253913,10.15042405,27.41739426,3.927396938,9.623371323,0
-12.43320974,-5.771801295,-4.194205891,-0.362676768,-7.441938555,1
11.18126206,12.15748381,7.790963733,-0.433254729,2.240773369,0
5.017579145,0.86397969,38.03716684,6.946104303,18.29378645,0
15.85321189,18.37128065,7.356692281,5.396592813,-0.653272738,0
-2.770703155,-7.844851993,-13.49008974,-1.153992756,-17.15610393,1
-5.941421388,0.509467996,3.87047559,3.478068972,-0.582526787,0
17.57709803,5.859363889,20.63379577,5.375607841,22.30322372,0
18.5398833,8.637578211,16.88241274,5.868138158,15.51480699,0
-8.724841443,-6.295314862,-4.50937331,-7.109538658,-6.709895834,1
6.062674526,8.097350763,-2.383114548,4.527466134,7.542304656,0
8.555563572,18.41837311,-1.221177093,6.843358897,26.00068789,0
-6.325493911,-10.45582883,0.027553816,-3.152562913,-14.16307655,1
1.134908721,18.30145218,12.08730993,9.28703104,-10.33729728,0
-16.18292531,-12.48518037,2.4966981,0.108201185,-0.661156345,1
10.37352681,6.426373592,14.52047208,4.627806684,27.29977235,0
20.53418515,20.72108508,6.570269442,-0.657569599,11.76782021,0
-3.048310805,-11.43524404,-5.213454864,-3.306031179,-6.506521951,1
-9.41875021,-5.235197381,-4.844602176,-3.851563767,-8.267214199,1
18.5538456,10.47659137,-1.948789263,5.803954478,8.993434018,0
-7.75819339,-2.911295011,-6.218062438,-2.679452665,-8.093771253,1
0.136832927,12.67675899,7.504363699,4.252581004,0.612939738,0
10.1563911,19.44483072,1.660305369,2.660974966,17.18649476,0
9.919833328,-3.156174762,24.37063396,7.140035293,24.5089002,0
10.08258281,9.460408884,17.30535928,3.514443366,16.07506687,0
22.19780637,12.76532266,9.385499858,2.415701025,18.04859808,0
1.135047197,-3.970238655,-4.336414092,-6.608988073,-4.612065575,1
12.53832156,21.051804,16.67163596,6.011770817,26.66929956,0
15.72948465,3.590261471,8.918828979,-2.883670317,22.58795068,0
25.33897839,18.58050158,9.114146975,3.85599167,7.19438786,0
-26.01118872,-16.63178628,6.817873385,-1.435021626,-1.862427945,1
-14.02388518,-10.48893793,-9.181731441,-1.60131806,-2.050528193,1
18.89884785,16.06515523,10.42538375,-0.016561645,11.97690794,0
-13.27671843,-4.766678088,-5.721677504,-5.710029229,-8.089929769,1
-2.149520814,-4.906197301,-10.12408488,-5.663641909,-18.8477535,1
1.331133187,31.31128256,13.43423203,8.89292571,2.747408136,0
28.8008125,-6.526809157,10.97818598,3.052609123,29.33659049,0
4.647289917,-7.778253373,-16.30249327,-4.617599585,-11.03656004,1
2.917243568,0.664892912,19.04703681,2.989530696,16.6820129,0
11.13949953,5.688491581,23.37727123,2.577237556,12.31516864,0
-12.81727038,-9.589641794,-12.67013821,-4.908374589,-6.068019877,1
15.32343588,5.671678368,11.71248175,11.00989815,14.58900001,0
